id;nom;prenom;date_de_naissance;taille;couleur_yeux
1;connect Connecticut;Platinum Profound;2021-02-06T11:16:46;27704;BLEU
2;Industrial adapter California;Wisconsin Wooden;2021-02-06T08:24:35;3975;BLEU
3;Computers;Vista;2021-02-06T14:58:58;19948;VERT
4;lavender;Research;2021-02-06T14:07:02;46194;BLEU
5;Organic Savings Account;Maine Won Soap;2021-02-06T21:46:02;66471;VERT
6;District Tools;extensible Incredible Armenian Dram;2021-02-06T16:43:05;59401;VERT
7;Malawi Zimbabwe Dollar Home Loan Account;Oklahoma;2021-02-06T07:54:45;90271;BLEU
8;Stand-alone Views;Outdoors;2021-02-06T22:21:50;64823;VERT
9;pixel;Director;2021-02-06T04:27:27;3916;MARRON
10;North Dakota withdrawal bi-directional;Bedfordshire Kentucky Savings Account;2021-02-06T13:59:53;46695;BLEU
